"data_file","outer_epoch","inner_epoch","net__depth","net__width","net__activation","net__dropout","net__lr_rate","net__weight_decay","total_epochs","best_epoch","tuned_activation","tuned_dropout","tuned_lr_rate","tuned_weight_decay","classif.acc","classif.precision","classif.recall","classif.f1","classif.tn","classif.fp","classif.fn","classif.tp","guardian.rho_noco2","guardian.rlogit_noco2","guardian.rprob_noco2","guardian.rho_comp","guardian.rlogit_comp","guardian.rprob_comp","guardian.rho_pf","guardian.rlogit_pf","guardian.rprob_pf","id","model","depth","parameters","data_name","model_name","model_category","abbrev_name","abbrev_name_w_depth","name","input_features"
"bert_base_uncased-features_embedding-layer-10_11-attention_method-4_max.parquet",1000,100,2,144,"[""sigmoid"", ""tanh"", ""relu"", ""softmax""]","[0, 0.1, 0.2, 0.3, 0.4]","[1e-05, 0.0001, 0.001, 0.01, 0.1]","[0.0001, 0.001, 0.01, 0.1]",341,300,"relu",0,1e-05,1e-04,0.969017732616059,0.962470680218921,0.976402934761055,0.969386750664435,4803,192,119,4924,0.346928285778522,0.290776416346808,0.291858978525734,-0.296334577435821,-0.237970721264962,-0.231967147995021,-0.395252837977296,-0.271023086600023,-0.268516768532006,21,"torch",2,110736,"Embedding","DL","Non-linear","Emb. DL","Emb. DL @2","BERT \& FNN","768"
"bert_base_uncased-features_embedding-layer-10_11-attention_method-4_max.parquet",1000,100,3,48,"[""sigmoid"", ""tanh"", ""relu"", ""softmax""]","[0, 0.1, 0.2, 0.3, 0.4]","[1e-05, 0.0001, 0.001, 0.01, 0.1]","[0.0001, 0.001, 0.01, 0.1]",281,240,"relu",0,1e-05,1e-04,0.967224546722455,0.960891669925694,0.97441998810232,0.967608545830462,4795,200,129,4914,0.293237003455655,0.263886825044876,0.256968881913747,-0.287041855495325,-0.222468548858366,-0.20875689159609,-0.374613003095975,-0.249278911396911,-0.238723455193343,22,"torch",3,39216,"Embedding","DL","Non-linear","Emb. DL","Emb. DL @3","BERT \& FNN","768"
"wundt_v16_8-model-ridge-na.parquet",1000,100,3,112,"[""sigmoid"", ""tanh"", ""relu"", ""softmax""]","[0, 0.1, 0.2, 0.3, 0.4]","[1e-05, 0.0001, 0.001, 0.01, 0.1]","[0.0001, 0.001, 0.01, 0.1]",751,710,"relu",0.4,1e-04,1e-04,0.917073667073667,0.927093999590416,0.907942238267148,0.91741817813355,4486,356,459,4527,0.185854438809922,0.32680306823207,0.352580976145098,-0.219927752591741,-0.38639454031384,-0.415946107339768,-0.259029927760578,-0.36529046960848,-0.393631303483699,23,"torch",3,98672,"Engineered","DL","Non-linear","Val. DL","Val. DL @3","SB23 \& FNN","26"
"wundt_v16_8-model-ridge-na.parquet",1000,100,2,32,"[""sigmoid"", ""tanh"", ""relu"", ""softmax""]","[0, 0.1, 0.2, 0.3, 0.4]","[1e-05, 0.0001, 0.001, 0.01, 0.1]","[0.0001, 0.001, 0.01, 0.1]",521,480,"softmax",0.2,0.001,1e-04,0.897537647537648,0.878735960403579,0.925792218210991,0.9016505518117,4205,637,370,4616,-0.158113883008419,-0.111448968324669,-0.111448968324669,0.244357819194829,0.18048207929712,0.18048207929712,0.186765416898933,0.149428562629536,0.149428562629536,24,"torch",2,24608,"Engineered","DL","Non-linear","Val. DL","Val. DL @2","SB23 \& FNN","26"
"wundt_v16_8-model-ridge-na.parquet",1000,100,2,80,"[""sigmoid"", ""tanh"", ""relu"", ""softmax""]","[0, 0.1, 0.2, 0.3, 0.4]","[1e-05, 0.0001, 0.001, 0.01, 0.1]","[0.0001, 0.001, 0.01, 0.1]",1000,999,"relu",0,1e-04,1e-04,0.913207163207163,0.906231570670336,0.924588848776574,0.915318177305669,4365,477,376,4610,0.66701093039561,0.694394051488506,0.63214943865897,-0.471863769645192,-0.537301714025454,-0.573208400498801,-0.622291021671827,-0.63140997432052,-0.617707160833734,25,"torch",2,61520,"Engineered","DL","Non-linear","Val. DL","Val. DL @2","SB23 \& FNN","26"
"bert_base_uncased-features_embedding-layer-10_11-attention_method-4_max.parquet",1000,100,2,128,"[""sigmoid"", ""tanh"", ""relu"", ""softmax""]","[0, 0.1, 0.2, 0.3, 0.4]","[1e-05, 0.0001, 0.001, 0.01, 0.1]","[0.0001, 0.001, 0.01, 0.1]",361,320,"relu",0,1e-05,1e-04,0.96931659693166,0.963579400822401,0.975808050763434,0.969655172413793,4809,186,122,4921,0.353123433738853,0.299064661978302,0.302353932375024,-0.308724873356482,-0.24706677782466,-0.243663137110896,-0.403508771929825,-0.279928466047367,-0.279884064209769,26,"torch",2,98432,"Embedding","DL","Non-linear","Emb. DL","Emb. DL @2","BERT \& FNN","768"
"wundt_v16_8-model-ridge-na.parquet",1000,100,2,128,"[""sigmoid"", ""tanh"", ""relu"", ""softmax""]","[0, 0.1, 0.2, 0.3, 0.4]","[1e-05, 0.0001, 0.001, 0.01, 0.1]","[0.0001, 0.001, 0.01, 0.1]",1000,990,"relu",0.1,1e-04,1e-04,0.915954415954416,0.908965788438852,0.92719614921781,0.917990468625894,4379,463,363,4623,0.710376966117925,0.714172387462299,0.672099164454937,-0.504904558766956,-0.515747478080409,-0.57553540023148,-0.65531475748194,-0.630587744034236,-0.639448046533206,27,"torch",2,98432,"Engineered","DL","Non-linear","Val. DL","Val. DL @2","SB23 \& FNN","26"
"wundt_v16_8-model-ridge-na.parquet",1000,100,3,48,"[""sigmoid"", ""tanh"", ""relu"", ""softmax""]","[0, 0.1, 0.2, 0.3, 0.4]","[1e-05, 0.0001, 0.001, 0.01, 0.1]","[0.0001, 0.001, 0.01, 0.1]",971,930,"relu",0.3,1e-04,1e-04,0.913207163207163,0.932774869109948,0.893301243481749,0.912611412765086,4521,321,532,4454,0.512132231387342,0.482729272847166,0.487831939665234,-0.612287123412689,-0.583049616783098,-0.585378566021812,-0.595459236326109,-0.545854077568289,-0.549667654909944,28,"torch",3,39216,"Engineered","DL","Non-linear","Val. DL","Val. DL @3","SB23 \& FNN","26"
"bert_base_uncased-features_embedding-layer-10_11-attention_method-4_max.parquet",1000,100,2,48,"[""sigmoid"", ""tanh"", ""relu"", ""softmax""]","[0, 0.1, 0.2, 0.3, 0.4]","[1e-05, 0.0001, 0.001, 0.01, 0.1]","[0.0001, 0.001, 0.01, 0.1]",231,190,"sigmoid",0,1e-04,1e-04,0.964335525004981,0.951783992285439,0.978584176085663,0.964998044583496,4745,250,108,4935,0.566856038370263,0.440105444546568,0.363637326537287,-0.432627832563097,-0.32112949018229,-0.262647893591858,-0.576883384932921,-0.390281861001017,-0.321100312558386,29,"torch",2,36912,"Embedding","DL","Non-linear","Emb. DL","Emb. DL @2","BERT \& FNN","768"
"bert_base_uncased-features_embedding-layer-10_11-attention_method-4_max.parquet",1000,100,3,128,"[""sigmoid"", ""tanh"", ""relu"", ""softmax""]","[0, 0.1, 0.2, 0.3, 0.4]","[1e-05, 0.0001, 0.001, 0.01, 0.1]","[0.0001, 0.001, 0.01, 0.1]",171,130,"relu",0,1e-05,0.001,0.966726439529787,0.954800077264825,0.980170533412651,0.967318982387475,4761,234,100,4943,0.41300986402205,0.352151036631196,0.342057061353178,-0.282911756855104,-0.24061391279802,-0.232200143761311,-0.42827657378741,-0.303948102325989,-0.294461833688417,30,"torch",3,114816,"Embedding","DL","Non-linear","Emb. DL","Emb. DL @3","BERT \& FNN","768"
